character,onyomi,kunyomi,meaning,stroke_count,examples
一,イチ・イツ,ひと・ひとつ,Satu,1,"一人 (hitori), 一月 (ichigatsu)"
二,ニ,ふた・ふたつ,Dua,2,"二月 (nigatsu), 二人 (futari)"
三,サン,み・みっつ,Tiga,3,"三月 (sangatsu), 三日 (mikka)"
四,シ,よ・よっ・よっつ,Empat,4,"四月 (shigatsu), 四日 (yokka)"
五,ゴ,いつ・いつつ,Lima,5,"五月 (gogatsu), 五日 (itsuka)"
六,ロク,む・むっつ,Enam,6,"六月 (rokugatsu), 六日 (muika)"
七,シチ,なな・ななつ,Tujuh,7,"七月 (shichigatsu), 七日 (nanoka)"
八,ハチ,や・やっつ,Delapan,8,"八月 (hachigatsu), 八日 (youka)"
九,キュウ・ク,ここの・ここのつ,Sembilan,9,"九月 (kugatsu), 九日 (kokonoka)"
十,ジュウ・ジッ,とお・と,Sepuluh,10,"十月 (juugatsu), 十日 (tooka)"
百,ヒャク,もも,Ratus / Ratusan,6,"百円 (hyakuen), 三百 (sanbyaku)"
千,セン,ち,Ribu / Ribuan,3,"千円 (sen'en), 三千 (sanzen)"
万,マン・バン,よろず,Puluh ribu (10.000),3,"一万円 (ichiman'en)"
円,エン,まる・まるい,Yen / Lingkaran,4,"百円 (hyakuen), 円い (marui)"
日,ニチ・ジツ,ひ・か,Matahari / Hari,4,"日本 (nihon), 日曜日 (nichiyoubi)"
月,ゲツ・ガツ,つき,Bulan,4,"月曜日 (getsuyoubi), 今月 (kongetsu)"
火,カ,ひ・ほ,Api,4,"火曜日 (kayoubi), 火事 (kaji)"
水,スイ,みず,Air,4,"水曜日 (suiyoubi), お水 (omizu)"
木,ボク・モク,き・こ,Pohon / Kayu,4,"木曜日 (mokuyoubi), 大木 (taiboku)"
金,キン・コン,かね・かな,Emas / Uang,8,"金曜日 (kin'youbi), お金 (okane)"
土,ド・ト,つち,Tanah / Bumi,3,"土曜日 (doyoubi), 土地 (tochi)"
年,ネン,とし,Tahun,6,"今年 (kotoshi), 来年 (rainen)"
時,ジ,とき,Waktu / Jam,10,"時間 (jikan), 何時 (nanji)"
分,フン・ブン・プン,わ・わかる,Menit / Membagi / Paham,4,"五分 (gofun), 分かる (wakaru)"
人,ジン・ニン,ひと,Orang,2,"日本人 (nihonjin), 一人 (hitori)"
今,コン・キン,いま,Sekarang,4,"今 (ima), 今日 (kyou), 今週 (konshuu)"
先,セン,さき,Sebelum / Ujung,6,"先週 (senshuu), 先生 (sensei)"
生,セイ・ショウ,い・う・なま,Hidup / Lahir,5,"先生 (sensei), 学生 (gakusei), 生きる (ikiru)"
学,ガク,まな・ぶ,Belajar / Ilmu,8,"学生 (gakusei), 学校 (gakkou), 大学 (daigaku)"
校,コウ,かせ,Sekolah,10,"学校 (gakkou), 高校 (koukou)"
本,ホン,もと,Buku / Asal,5,"本 (hon), 日本 (nihon)"
語,ゴ,かた・る,Bahasa / Berkata,14,"日本語 (nihongo), 英語 (eigo)"
大,ダイ・タイ,おお・おおきい,Besar,3,"大学 (daigaku), 大きい (ookii)"
小,ショウ,ちい・ちいさい・こ,Kecil,3,"小さい (chiisai), 小学校 (shougakkou)"
中,チュウ,なか,Tengah / Di dalam,4,"中 (naka), 一日中 (ichinichijuu)"
上,ジョウ,うえ・あ・がる,Atas / Naik,3,"上 (ue), 上手 (jouzu)"
下,カ・ゲ,した・さ・がる,Bawah / Turun,3,"下 (shita), 下手 (heta)"
右,ウ・ユウ,みぎ,Kanan,5,"右 (migi), 右手 (migite)"
左,サ,ひだり,Kiri,5,"左 (hidari), 左手 (hidarite)"
前,ゼン,まえ,Depan / Sebelum,9,"前 (mae), 午前 (gozen)"
後,ゴ・コウ,うし・あと・おく・れる,Belakang / Setelah,9,"後ろ (ushiro), 午後 (gogo)"
東,トウ,ひがし,Timur,8,"東京 (toukyou), 東口 (higashiguchi)"
西,セイ・サイ,にし,Barat,6,"西口 (nishiguchi), 西洋 (seiyou)"
南,ナン,みなみ,Selatan,9,"南 (minami), 南口 (minamiguchi)"
北,ホク,きた,Utara,5,"北 (kita), 北口 (kitaguchi)"
国,コク,くに,Negara,8,"国 (kuni), 外国 (gaikoku)"
男,ダン・ナン,おとこ,Pria / Laki-laki,7,"男の人 (otoko no hito), 男の子 (otoko no ko)"
女,ジョ・ニョ,おんな・め,Wanita / Perempuan,3,"女の人 (onna no hito), 女の子 (onna no ko)"
子,シ・ス,こ,Anak,3,"子供 (kodomo), 女の子 (onna no ko)"
父,フ,ちち・とう,Ayah,4,"父 (chichi), お父さん (otousan)"
母,ボ,はは・かあ,Ibu,5,"母 (haha), お母さん (okaasan)"
友,ユウ,とも,Teman,4,"友達 (tomodachi), 友人 (yuujin)"
名,メイ・ミョウ,な,Nama,6,"名前 (namae), 有名 (yuumei)"
何,カ,なに・なん,Apa,7,"何 (nani), 何時 (nanji)"
食,ショク,た・べる,Makan,9,"食べる (taberu), 食べ物 (tabemono)"
飲,イン,の・む,Minum,12,"飲む (nomu), 飲み物 (nomimono)"
見,ケン,み・る・み・える,Melihat,7,"見る (miru), 意見 (iken)"
聞,ブン・モン,き・く・き・こえる,Mendengar / Bertanya,14,"聞く (kiku), 新聞 (shinbun)"
読,ドク・トク,よ・む,Membaca,14,"読む (yomu), 読書 (dokusho)"
書,ショ,か・く,Menulis,10,"書く (kaku), 辞書 (jisho)"
話,ワ,はな・す・はなし,Berbicara / Cerita,13,"話す (hanasu), 電話 (denwa)"
買,バイ,か・う,Membeli,12,"買う (kau), 買い物 (kaimono)"
行,コウ・ギョウ,い・く・ゆ・く・おこな・う,Pergi / Berjalan,6,"行く (iku), 旅行 (ryokou)"
来,ライ,く・る・き・たる,Datang,7,"来る (kuru), 来週 (raishuu)"
帰,キ,かえ・る,Pulang,10,"帰る (kaeru), 帰国 (kikoku)"
会,カイ・エ,あ・う,Bertemu / Perkumpulan,6,"会う (au), 会社 (kaisha)"
社,シャ,やしろ,Perusahaan / Kuil,7,"会社 (kaisha), 社会 (shakai)"
車,シャ,くるま,Mobil / Kendaraan,7,"車 (kuruma), 電車 (densha)"
駅,エキ,-,Stasiun,14,"駅 (eki), 駅員 (ekiin)"
電,デン,-,Listrik,13,"電気 (denki), 電車 (densha), 電話 (denwa)"
道,ドウ・トウ,みち,Jalan / Cara,12,"道 (michi), 北海道 (hokkaidou)"
店,テン,みせ,Toko,8,"店 (mise), 店員 (ten'in)"
門,モン,かど,Gerbang,8,"門 (mon), 専門 (senmon)"
間,カン・ケン,あいだ・ま,Antara / Jarak waktu,12,"時間 (jikan), 間 (aida)"
